Time,B_BVP,E_Skin_Cond
28.82666015625,33.626,5.689
28.82714843750,33.700,5.689
28.82763671875,33.775,5.689
28.82812500000,33.850,5.689
28.82861328125,33.926,5.689
28.82910156250,34.003,5.689
28.82958984375,34.080,5.689
28.83007812500,34.158,5.689
28.83056640625,34.237,5.689
28.83105468750,34.316,5.689
28.83154296875,34.396,5.689
28.83203125000,34.476,5.689
28.83251953125,34.557,5.688
28.83300781250,34.639,5.688
28.83349609375,34.721,5.688
28.83398437500,34.803,5.688
28.83447265625,34.886,5.688
28.83496093750,34.969,5.688
28.83544921875,35.053,5.688
28.83593750000,35.138,5.688
28.83642578125,35.222,5.688
28.83691406250,35.307,5.688
28.83740234375,35.393,5.688
28.83789062500,35.478,5.688
28.83837890625,35.565,5.688
28.83886718750,35.651,5.688
28.83935546875,35.738,5.688
28.83984375000,35.825,5.688
28.84033203125,35.912,5.688
28.84082031250,36.000,5.688
28.84130859375,36.088,5.688
28.84179687500,36.176,5.688
28.84228515625,36.264,5.688
28.84277343750,36.353,5.688
28.84326171875,36.442,5.688
28.84375000000,36.530,5.688
28.84423828125,36.619,5.688
28.84472656250,36.708,5.688
28.84521484375,36.798,5.688
28.84570312500,36.887,5.688
28.84619140625,36.976,5.688
28.84667968750,37.066,5.688
28.84716796875,37.155,5.688
28.84765625000,37.245,5.688
28.84814453125,37.334,5.688
28.84863281250,37.424,5.688
28.84912109375,37.513,5.688
28.84960937500,37.603,5.688
28.85009765625,37.692,5.688
28.85058593750,37.781,5.688
28.85107421875,37.871,5.688
28.85156250000,37.960,5.688
28.85205078125,38.049,5.688
28.85253906250,38.137,5.688
28.85302734375,38.226,5.688
28.85351562500,38.314,5.688
28.85400390625,38.403,5.688
28.85449218750,38.491,5.688
28.85498046875,38.579,5.688
28.85546875000,38.666,5.688
28.85595703125,38.754,5.687
28.85644531250,38.841,5.687
28.85693359375,38.928,5.687
28.85742187500,39.014,5.687
28.85791015625,39.100,5.687
28.85839843750,39.186,5.687
28.85888671875,39.272,5.687
28.85937500000,39.357,5.687
28.85986328125,39.442,5.687
28.86035156250,39.527,5.687
28.86083984375,39.611,5.687
28.86132812500,39.694,5.687
28.86181640625,39.778,5.687
28.86230468750,39.860,5.687
28.86279296875,39.943,5.687
28.86328125000,40.025,5.687
28.86376953125,40.106,5.687
28.86425781250,40.187,5.687
28.86474609375,40.268,5.687
28.86523437500,40.348,5.687
28.86572265625,40.428,5.687
28.86621093750,40.507,5.687
28.86669921875,40.585,5.687
